,name,price,quantity,condition,description,warranty,features
0,Suplemento en polvo Meta Nutrition  Creatine + creatina en sachet de 500g,504.0,5000,new,"Una nutrición balanceada juega un papel fundamental en la calidad de vida. Con el ritmo acelerado que llevan muchas personas, a veces resulta complejo prestar atención a todos los requerimientos que el cuerpo necesita para estar sano y fuerte. En ese sentido, los suplementos cumplen la función de complementar la alimentación y ayudan a obtener las vitaminas, minerales, proteínas y otros componentes indispensables para el correcto funcionamiento del organismo.

Suplemento deportivo
Este tipo de suplemento ayuda a complementar la alimentación de personas con objetivos o requerimientos nutricionales específicos. Su consumo puede ser indicado por diversos factores, como la duración y la intensidad de la actividad física, el tipo de deporte, el ambiente en el que se practica, la edad, la composición corporal, el peso, entre otros. Es importante resaltar que su uso debe estar acompañado por una alimentación equilibrada y hábitos de vida saludable.

Recomendado para deportes intensos
La creatina es uno de los complementos deportivos más conocidos y su principal objetivo es fortalecer el tejido muscular. Es producida de forma natural por el cuerpo y está presente en alimentos como el pescado, la carne, los lácteos y el huevo. Su consumo a través de suplementos puede contribuir a un mayor rendimiento en actividades físicas que requieran intervalos de fuerza cortos e intensos, como el levantamiento de pesas y otros deportes de alto desgaste que requieren una recuperación más rápida.

*Este producto es un suplemento, no es un medicamento. Ante cualquier duda, consulte a su médico. ",Garantía del vendedor: 1 días,Suplemento de uso deportivo.Componente principal: creatina.Tamaño de la porción: 5g.Porciones por envase: 100.Sin lactosa.Producto vegano.Acompaña tus objetivos nutricionales.Consumir junto con alimentos para favorecer su asimilación.Las imágenes pueden ser ilustrativas.
1,"Xiaomi Mi Smart Band 5 1.1"" caja de  plástico pc black, malla  black de  elastómero termoplástico y aleación de aluminio XMSH10HM",488.0,50000,new,"Con 10 años de trayectoria, Xiaomi se posiciona como uno de los líderes indiscutidos en el mercado de los smartwatches. Sus productos se destacan por la calidad, el diseño sencillo y muy buenas prestaciones. La Mi Band tiene todo lo necesario para acompañarte en tu rutina.

La Mi Band 5 es un salto de evolución respecto a sus predecesoras. Sin perder su versatilidad, la nueva pulsera inteligente de Xiaomi presenta mejoras que la hacen mucho más cómoda y funcional. Una de las principales es el cargador magnético: basta con acercar el extremo de carga al dispositivo y comenzará a llenarse la batería. Por otro lado, su pantalla OLED presenta colores bien definidos y buen contraste, para visualizar con facilidad los datos incluso con luz solar directa. Y si hablamos de funcionalidades deportivas y de salud esta nueva versión se destaca de las demás por su precisión.

",Garantía del vendedor: 3 meses,"Pantalla táctil AMOLED de 1.1"".Recibe notificaciones de WhatsApp.Resiste hasta 50m bajo el agua.Batería de 14 días de duración.Conectividad por bluetooth.Capacidad de la memoria interna de 16MB.Sensores incluidos: acelerómetroCorrea intercambiable por otros coloresRango de ajuste de la malla: 155 mm x 219 mm."
2,Suplemento en polvo Birdman  Performance Creatina Monohidratada en lata de 450g,559.0,5000,new,"Una nutrición balanceada juega un papel fundamental en la calidad de vida. Con el ritmo acelerado que llevan muchas personas, a veces resulta complejo prestar atención a todos los requerimientos que el cuerpo necesita para estar sano y fuerte. En ese sentido, los suplementos cumplen la función de complementar la alimentación y ayudan a obtener las vitaminas, minerales, proteínas y otros componentes indispensables para el correcto funcionamiento del organismo.

Recomendado para deportes intensos
La creatina es uno de los complementos deportivos más conocidos y su principal objetivo es fortalecer el tejido muscular. Es producida de forma natural por el cuerpo y está presente en alimentos como el pescado, la carne, los lácteos y el huevo. Su consumo a través de suplementos puede contribuir a un mayor rendimiento en actividades físicas que requieran intervalos de fuerza cortos e intensos, como el levantamiento de pesas y otros deportes de alto desgaste que requieren una recuperación más rápida.

*Este producto es un suplemento, no es un medicamento. Ante cualquier duda, consulte a su médico. ",Sin garantía,Suplemento de uso nutricional/deportivo.Componente principal: creatina.Tamaño de la porción: 5g.Porciones por envase: 90.Sin lactosa.Producto vegano.Acompaña tus objetivos nutricionales.Consumir junto con alimentos para favorecer su asimilación.Las imágenes pueden ser ilustrativas.
3,Termo Digital Inteligente De Acero Inoxidable 500ml,129.86,7000,new,[],Sin garantía,
4,Cinta Kinesiológicas Vendaje Neuromuscular Tape 5mx5cm(4pzs),173.04,8300,new,[],Garantía del vendedor: 30 días,
5,Pack Citratos - Magnesio Y Potasio 100 Caps C/u,398.99,5000,new,[],Sin garantía,
6,Botella De Agua Deportiva Anti Fugas No Tóxico Capacidad 2 L,175.82,1475,new,[],Garantía del vendedor: 1 meses,
7,Rodilleras 3d Weaving Sport Presurización Rodillera(2piezas),156.87,2675,new,[],Garantía del vendedor: 30 días,
8,Termo Inteligente Digital Lector De Temperatura Pantalla Led,117.75,9500,new,[],Garantía del vendedor: 7 días,
9,Guantes Gym Tacticos Pesas Crossfit Gimnasio Mujer Hombre,118.0,2950,new,[],Garantía del vendedor: 1 meses,
10,Mochila Militar Táctica Escolar Para Laptop Muy Resistente,272.57,8825,new,[],Garantía del vendedor: 3 meses,
11,"Huawei Band 6 1.47"" caja de  polímero gold, malla  sakura pink de  silicona FRA-B19",849.0,5000,new,"Los relojes inteligentes de Huawei se destacan por su sofisticación y su estética clásica. Otro punto que resalta en los smartwatches de la marca china es la durabilidad de la batería, además de sus prestaciones deportivas y de control de la salud.

Monitor de saturación de oxígeno en sangre
El nivel de oxígeno en sangre es un indicador muy importante para determinar el bienestar general. Podrás controlar este dato desde tu muñeca y evaluar tu condición física mientras realices tus actividades diarias o en sesiones de entrenamiento intenso.

Registro del ciclo femenino
Esta función da seguimiento al ciclo menstrual y las fases de ovulación. Además de almacenar los datos, brinda recordatorios con anticipación de acuerdo a los registros realizados y permite que accedas a las estadísticas para un mayor conocimiento de tu salud.

Energía que se adapta a tu rutina
¡Entrena todos los días! Su batería tiene una duración de hasta 14 días, dependiendo de la intensidad del uso. Tendrás energía suficiente para acompañar tus entrenamientos diarios y llevarlos a otro nivel.

",Garantía del vendedor: 6 meses,"Pantalla táctil AMOLED de 1.47"".Resiste hasta 50m bajo el agua.Batería de 14 días de duración y carga rápida.Conectividad por bluetooth.Sensores incluidos: acelerómetroCorrea intercambiable por otros colores"
12,Aqua Shoes Zapatos Agua Mujeres/hombres/niños/niñas,197.0,12509,new,[],Sin garantía,
13,Testosterona Hombre 180 Cápsulas Maca Negra Fenogreco B Life,499.0,5000,new,[],Garantía del vendedor: 1 meses,
14,Botella Bote Vaso Envase Motivacional  Agua Popote Gym 2l,197.0,1450,new,[],Sin garantía,
15,Tapete Para Yoga Alta Densidad 10mm De Grosor,229.0,12000,new,[],Sin garantía,
